,category,course,query,answer
0,工,C++语言程序设计基础,什么时候上课效果最好？,"学习一门课程的最佳时间是,课前预习+课上复习+课后阅读+完成作业=最佳学习效果。"
1,工,C++语言程序设计基础,课前预习总是看不进去怎么办,我想吃好吃的了，我们聊聊其他的吧！
2,工,C++语言程序设计基础,吃什么有助于增长记忆力？,"增长记忆力,可以多吃点含酪胺酸的食物,如鸡肉、蛋类、瘦肉、花生、核桃、牛奶、猪肉、肝脏、"
3,工,C++语言程序设计基础,每天睡前适合背书吗？,"睡前背书有助于加深记忆,建议睡前用5分钟快速过一遍当天学习的内容,把重点、易错点,难点重点标记出来。"
4,工,C++语言程序设计基础,做题总是马马虎虎怎么办？,有答案可对吗？
5,工,C++语言程序设计基础,做题总是马马虎虎怎么办,完结后无法报名。课程会进行重复开课，建议加入关注，报名下一班次课程。
6,工,C++语言程序设计基础,逻辑思维不好怎么办,"您好,可以通过训练提升。训练方式多种多样,一般需要选择适合自己的方法坚持训练。"
7,工,C++语言程序设计基础,做题发现跟不上解题思路,"您好,建议选择适合自己的方法坚持训练。"
8,工,C++语言程序设计基础,如何确定自己适合的学习方法？,您好，您可以进入课程后，点击成绩这个选项，查看一下您还有哪些章节没有完成，感谢您的支持。
9,工,C++语言程序设计基础,怎样背书背的快？,"您好,建议您先预习一下内容,做到心中有数,然后再开始进行背诵的过程,这样效果会更好。"
10,工,C++语言程序设计基础,C++程序的开发过程是什么？,"在计算机程序开发过程中,把计算机程序设计语言转化为计算机可执行的机器语言(如汇编语言等)的过程为软件开发程序(programm"
11,工,C++语言程序设计基础,怎样背书背的快？,"您好,建议您先预习一下内容,做到心中有数,然后再开始进行背诵的过程,这样效果会更好。"
12,工,C++语言程序设计基础,机器语言和程序设计语言的区别？,机器语言:用于特定类型计算机表达指令的人工语言。程序设计语言:用于表达计算机程序的计算机语言。
13,工,C++语言程序设计基础,计算机语言何时诞生的？,"从1946年第一台电子计算机诞生以来,便有了计算机的专用语言。"
