,category,course,query,answer,coherence,informativeness,hallucination,humanness,helpfulness,instructiveness
0,理,逻辑学概论,什么是逻辑学,"逻辑学是研究思维形式及其规律的学科,是哲学的一个分支。",2,2,2,1,2,1
1,理,逻辑学概论,推理和推理形式,"推理是指根据已知的事实来推断出未知的事实。推理形式是指推理的形式,即推理的规则和方法。",2,2,2,2,2,2
2,理,逻辑学概论,有效推理形式,"有效推理形式是指在一定的前提条件下,若干个命题的推理过程,若其结论与所设定的目标命题一致,则称该推理过程为有效推理。",2,2,2,2,2,1
3,理,逻辑学概论,逻辑学的特点,"逻辑学是研究思维形式及其规律的学科,是哲学的一个分支。",0,0,2,2,0,0
4,理,逻辑学概论,逻辑学的基本原则,"逻辑学的基本原则是推理的基本规则,即演绎和归纳。",2,2,2,1,1,1
5,理,逻辑学概论,什么是矛盾律,"矛盾律是指两个命题如果同时为真或同时为假,则称它们是矛盾的。",2,2,2,2,2,2
6,理,逻辑学概论,逻辑学与其他学科的关系,"逻辑学与其他学科的关系是密切的,它是哲学、数学、语言学、计算机科学、心理学、经济学等学科的基础。",2,2,2,1,2,1
7,理,逻辑学概论,逻辑机器,逻辑机器是一种能够根据逻辑规则自动进行推理的机器。,2,2,2,2,1,1
8,理,逻辑学概论,逻辑参与是什么,"逻辑参与是指在逻辑学习过程中,学习者参与其中,并且能够从中获得收获的学习方式。",2,2,2,2,2,2
9,理,逻辑学概论,经典二值逻辑学是什么,"经典二值逻辑学是一门研究逻辑学的基础理论,是逻辑学的基础。",2,2,2,1,1,1
10,理,逻辑学概论,逻辑学论证,"小木会为你推荐课程资源,并为你讲解课程知识点哦~",0,0,2,1,0,0
11,理,逻辑学概论,逻辑学基本概念,"逻辑学是研究逻辑的学科,主要研究逻辑的基本概念、基本原理和基本方法。",0,0,2,2,0,0
12,理,逻辑学概论,火山的形成过程,火山的形成过程主要包括岩浆上升、岩浆冷却和火山爆发三个过程。,2,2,2,2,1,1
13,理,逻辑学概论,鲨鱼的生活水深,"小木会为你讲解推理,并为你讲解课程知识点哦~",0,0,2,2,0,0
14,理,逻辑学概论,世界上最大的鲸鱼是什么,小木不知道哦~,0,0,2,2,0,0
15,理,逻辑学概论,世界上最大的鲸鱼是什么,"鲸鱼是一种鱼类,并不属于世界上最大的鲸鱼。",2,2,2,2,1,1
16,理,逻辑学概论,什么是老千,"老千是一种骗术,老千通常会利用自己的专业知识和技能来骗取钱财。",1,1,1,2,1,1
17,理,逻辑学概论,中国领土最南端,中国领土最南端是中国的南极岛群。,2,2,1,1,1,1
