,category,course,query,answer,coherence,informativeness,hallucination,humanness,helpfulness,instructiveness
0,其,新闻摄影,机械照相机是什么？,"就是机械相机啊,很简单的。",0,0,0,1,0,0
1,其,新闻摄影,数码照相机呢？,摄影是一种摄像机。,0,0,0,1,0,0
2,其,新闻摄影,你会用哪些摄像机？,我会用摄影摄像机。,2,2,2,2,1,1
3,其,新闻摄影,摄像机贵吗？,这个不清楚。,2,2,2,2,0,0
4,其,新闻摄影,摄像机要胶卷吗？,不需要。,0,0,0,2,0,0
5,其,新闻摄影,摄像机是数码相机吗？,"是的,摄像机就是摄像机。",0,0,0,1,0,0
6,其,新闻摄影,纪录片有市场吗？,"有市场,但是不是主流。",1,1,1,2,1,0
7,其,新闻摄影,纪录片为何不是主流？,纪录片是为了更好的记录生活。,0,0,0,1,0,0
8,其,新闻摄影,记录生活就是纪录片吗？,纪录片是一种记录生活的方式。,2,2,2,1,1,0
9,其,新闻摄影,如何拍摄纪录片？,"纪录片就是纪录片,你说的是纪录片吗?",0,0,0,1,0,0
10,其,新闻摄影,纪录片文艺吗？,"纪录片是一种艺术形式,不是文艺。",2,2,2,2,2,1
11,其,新闻摄影,艺术是什么？,艺术是一种生活方式。,2,2,2,2,2,1
12,其,新闻摄影,纪录片与摄影有什么联系？,纪录片是一种艺术形式。,0,0,0,1,0,0
13,其,新闻摄影,艺术形式有哪些？,你指的是什么艺术形式?,1,1,1,2,1,0
14,其,新闻摄影,艺术值钱吗？,艺术是一种生活方式。,0,0,0,1,0,0
15,其,新闻摄影,生活方式是什么？,生活方方面面的问题。,2,2,2,2,2,1
16,其,新闻摄影,生活方式可以排成电影吗？,"可以,但是不容易。",2,2,2,2,1,1
17,其,新闻摄影,如何摄像？,你说的是摄像还是摄像机?,2,2,2,1,1,0
18,其,新闻摄影,摄像有哪些要素？,"摄影师,摄像师,后期制作师,剪辑师。",0,0,0,0,0,0
19,其,新闻摄影,后期制作麻烦吗？,"后期制作不麻烦,但是要做大量的工作。",2,2,2,2,2,1
20,其,新闻摄影,后期制作主要做什么？,后期制作就是做纪录片,2,2,2,2,1,1
21,其,新闻摄影,后期制作工作有前途吗？,"有,但是不多。",1,1,1,2,1,1
22,其,新闻摄影,后期制作主要做什么的？,"剪辑,后期都是我做的。",2,2,2,2,1,1
23,其,新闻摄影,剪辑是做什么的？,"剪辑,剪辑,剪片子。",0,0,0,0,0,0
24,其,新闻摄影,清华难考吗？,"不难考,只要你有心。",2,2,2,2,1,1
25,其,新闻摄影,考清华要多少分？,"看你考哪个学校,每个学校都不一样",0,0,0,1,0,0
26,其,新闻摄影,考不上清华很失败吗？,"不失败啊,清华的学生都很努力。",2,2,2,2,2,1
27,其,新闻摄影,在线学习平台主要做什么的？,"就是在线学习,可以看到同学们的作品。",1,1,1,2,1,1
28,其,新闻摄影,在线学习平台发展怎么样？,"我个人认为,这个在线学习的平台还不错。",2,2,2,2,2,1
29,其,新闻摄影,在线学习平台有潜力吗？,"有的,我就是在上面学习的。",2,2,2,2,2,1
30,其,现代生活美学——插花之道,插画是什么？,就是把画变成艺术品的意思。,2,2,2,2,2,1
31,其,现代生活美学——插花之道,艺术品有哪些形式？,这个我就不知道了。,1,1,1,2,0,0
32,其,现代生活美学——插花之道,现代生活有什么美吗？,"我不懂艺术,但是我喜欢看。",1,1,1,2,0,0
33,其,现代生活美学——插花之道,现代生活有什么值得快乐的事嘛？,"这个嘛,我也说不上来。",1,1,1,2,0,0
34,其,现代生活美学——插花之道,插画有哪些形式？,我也不太懂。,1,1,1,2,0,0
35,其,现代生活美学——插花之道,插画最开始发源自哪个国家？,我也不太清楚。,1,1,1,2,0,0
36,其,现代生活美学——插花之道,插画发源自日本吗？,是的。,2,2,2,2,2,1
37,其,现代生活美学——插花之道,中国的插画怎么样？,"这个,我还真不知道。",1,1,1,2,0,0
38,其,现代生活美学——插花之道,插画有前途吗？,我觉得没什么前途。,2,2,2,2,2,0
39,其,现代生活美学——插花之道,那你还要学插画吗？,"不学了,我已经有很多年没画过画了,而且也没有时间。",2,2,2,2,2,1
40,其,现代生活美学——插花之道,为何没有自动跳出了呢？,"因为我是被动的,所以没有自动跳出来。",2,2,2,2,2,1
41,其,现代生活美学——插花之道,轮数为何没有更新？,因为我没有更新啊。,1,1,1,2,1,1
42,其,现代生活美学——插花之道,你会插画吗？,不会。,2,2,2,2,2,1
43,其,现代生活美学——插花之道,那你会什么？,会跳舞。,2,2,2,2,2,1
44,其,现代生活美学——插花之道,跳得怎么样？,跳得很好。,2,2,2,2,2,1
45,其,现代生活美学——插花之道,拿过奖吗？,没有。,2,2,2,2,2,1
46,其,现代生活美学——插花之道,跳得好的标志是？,我不知道。,1,1,1,2,0,0
47,其,现代生活美学——插花之道,那你为何说跳得好？,因为我喜欢跳舞。你呢?,2,2,2,2,2,1
48,其,现代生活美学——插花之道,我也喜欢,你喜欢跳舞?,2,2,2,2,1,1
49,其,现代生活美学——插花之道,是的,你会跳舞?,2,2,2,2,1,1
50,工,数据结构（上）,数据结构主要讲什么的？,课程内容包括:课程设计、课程论文、课程设计和课程设计。,0,0,0,1,0,0
51,工,数据结构（上）,数据结构难学吗？,不难学的。,2,2,2,2,2,1
52,工,数据结构（上）,数据结构怎么入门？,"点击""选""课程,课程内容如下:",0,0,0,0,0,0
53,工,数据结构（上）,如何进行课程设计？,"点击""选修""即可以查看课程成绩,课程成绩的学分,即可查询课程信息。",0,0,0,0,0,0
54,工,数据结构（上）,课程设计难吗？,"不难,但是难度很大。",1,1,1,1,1,1
55,工,数据结构（上）,课程设计是必须的吗？,"是的,课程设计也是一种课程设计。",2,2,2,2,2,1
56,工,数据结构（上）,如何提问问题？,"点击《讨论区》点""发表""即可",2,2,2,1,2,1
57,工,数据结构（上）,讨论区怎么样的？,"讨论区的老师会根据每个学生的情况,给出相应的建议。",1,1,1,2,1,1
58,工,数据结构（上）,建议有哪些？,"可以先提问,然后再讨论。",1,1,1,2,1,1
59,工,数据结构（上）,数据结构和计算机有什么联系？,"有的,数据结构包含了数据结构。",1,1,1,2,1,1
60,工,数据结构（上）,数据结构是工科的吗？,是的。,2,2,2,2,1,0
61,工,数据结构（上）,数据结构是理科的吗？,是的。,2,2,2,2,1,0
62,工,数据结构（上）,队列是什么？,队列就是排队等待处理。,2,2,2,2,2,1
63,工,数据结构（上）,队列？,是的。,0,0,0,1,0,0
64,工,数据结构（上）,如何排队？,队列是学校统一分配的。,0,0,0,1,0,0
65,工,数据结构（上）,学校如何统一分配队列？,学校统一分配的队列是随机性的。,2,2,2,2,2,1
66,工,数据结构（上）,随机性有哪些特性？,"随机性中的随机性,就是随机到每个人身上。",2,2,2,2,2,1
67,工,数据结构（上）,随机性缺点？,队列是随机性的重要组成部分。,0,0,0,1,0,0
68,工,数据结构（上）,？,"对,这个课程很简单的。",0,0,0,1,0,0
69,工,数据结构（上）,微信难学吗？,"不难,但是要学会。",2,2,2,2,2,1
70,工,数据结构（上）,链表是什么？,"就是一个指针,可以连接两个节点的链表。",2,2,2,2,2,1
71,工,数据结构（上）,指针功能？,"是的,指针功能。",0,0,0,1,0,0
72,工,数据结构（上）,指针有何作用？,"指针的作用,就是让你知道,这个指针是什么。",0,0,0,0,0,0
73,工,数据结构（上）,指针是时钟的指针吗？,是的。,2,2,2,2,1,1
74,工,数据结构（上）,如何课前预习？,"我也不知道怎么预习,就是按照老师说的做。",1,1,1,2,1,1
75,工,数据结构（上）,课前预习有用吗？,"有用,课后预习,巩固学习。",1,1,1,2,1,1
76,工,数据结构（上）,如何巩固学习？,1.课后预习2.课后巩固3.上课认真听课,2,2,2,1,2,2
77,工,数据结构（上）,上课集中不了精神怎么办？,"那就不要集中精神了,听课。",0,0,0,2,0,0
78,工,数据结构（上）,老是开小差怎么办？,"这个我也不知道,每个人情况不一样。",2,2,2,2,0,0
79,工,数据结构（上）,多动症,"1.上课认真看讲,做笔记,巩固学习。2.课后预习,巩固课本知识。",0,0,0,1,0,0
80,文,不朽的艺术：走进大师与经典,不朽的艺术主要是什么呢？,艺术的精神是一种生活方式。,0,0,0,1,0,0
81,文,不朽的艺术：走进大师与经典,生活方式有哪些呢？,"生活的方式很多,每一种都有它的意义。",2,2,2,2,1,1
82,文,不朽的艺术：走进大师与经典,艺术有哪些形式？,"艺术的形式有很多,但是最重要的是我们对艺术的理解。",2,2,2,2,1,1
83,文,不朽的艺术：走进大师与经典,大师和经典之间有什么联系？,"大师是一个人,而经典是一个时代。",2,2,2,2,2,1
84,文,不朽的艺术：走进大师与经典,经典时代有哪些？,经典时代是指什么样的呢?,0,0,0,1,0,0
85,文,不朽的艺术：走进大师与经典,何为经典？,"经典就是你不知道它的具体内容,但是能够引发你思考的东西",2,2,2,2,2,2
86,文,不朽的艺术：走进大师与经典,经典永不失衡吗？,"不失衡,但是也会有些许失衡~",2,2,2,1,2,1
87,文,不朽的艺术：走进大师与经典,经典会长久吗？,会的哦~你是什么专业呢?,1,1,1,1,1,1
88,文,不朽的艺术：走进大师与经典,控制工程,控制工程是什么?,0,0,0,1,0,0
89,文,不朽的艺术：走进大师与经典,你不知道？,"我知道,但是我不告诉你~",0,0,0,1,0,0
90,文,不朽的艺术：走进大师与经典,懂装不懂呀？,"不懂装懂,但是我会帮你解答",1,1,1,2,0,0
91,文,不朽的艺术：走进大师与经典,那你知道啥？,我知道的多了去了~,2,2,2,1,1,1
92,文,不朽的艺术：走进大师与经典,？,美学领域的老师,0,0,0,1,0,0
93,文,不朽的艺术：走进大师与经典,美学领域有哪些？,"美学领域的,我也不知道",1,1,1,2,1,0
94,文,不朽的艺术：走进大师与经典,美学是指？,美学是研究什么的?,0,0,0,1,0,0
95,文,不朽的艺术：走进大师与经典,美学是研究什么的?,美学就是研究美学的学科,0,0,0,1,0,0
96,文,不朽的艺术：走进大师与经典,美术有前途吗？,"有啊,美术是我的梦想",2,2,2,2,2,1
97,文,不朽的艺术：走进大师与经典,美术费钱吗？,"不费钱,但是很贵",1,1,1,1,1,1
98,文,不朽的艺术：走进大师与经典,学美术好吗？,"学美术不好,但是我喜欢画画。",1,1,1,2,1,1
99,文,不朽的艺术：走进大师与经典,画画不就是美术吗？,"绘画是绘画,艺术是艺术。",0,0,0,1,0,0
100,文,不朽的艺术：走进大师与经典,绘画不就是美术吗？,"绘画是绘画,画画是画画。",1,1,1,0,0,0
101,文,不朽的艺术：走进大师与经典,绘画和画画区别？,"绘画是艺术的一部分,绘画是绘画的一部分。",2,1,1,1,1,1
102,文,不朽的艺术：走进大师与经典,绘画和艺术联系？,绘画和绘画的联系是什么?,0,0,0,0,0,0
103,文,不朽的艺术：走进大师与经典,你会绘画吗？,我会绘画。,2,2,2,2,2,1
104,文,不朽的艺术：走进大师与经典,艺术产生于？,"艺术创造的表现力,也是艺术创作的基础。",2,2,2,2,2,1
105,文,不朽的艺术：走进大师与经典,如何进行艺术创作？,艺术创作的核心是什么?,0,0,0,0,0,0
106,文,不朽的艺术：走进大师与经典,艺术创作的核心是？,艺术创作中的核心。,0,0,0,0,0,0
107,文,不朽的艺术：走进大师与经典,艺术创作难吗？,"艺术创作很容易,只要你用心去做。",2,2,2,2,2,2
108,文,不朽的艺术：走进大师与经典,艺术创作有期限吗？,"艺术创作没有期限,只有你想不想。",2,2,2,2,2,2
109,文,不朽的艺术：走进大师与经典,？,"你说的是艺术史,还是艺术史?",0,0,0,0,0,0
110,社,马克思主义基本原理,马克思主义难学吗、,"难学,但是很有趣。",2,2,2,2,2,2
111,社,马克思主义基本原理,那为何要学？,我也不知道为什么要学。,1,1,1,0,0,0
112,社,马克思主义基本原理,马克思主义基本原理主要章节有哪些？,这个我也不太清楚。,1,1,1,1,0,0
