,category,course,query,answer,coherence,informativeness,hallucination,humanness,helpfulness,instructiveness
0,理,有机化学,分子吸收光谱有哪些分类？,"根据吸收峰频率,分子吸收光谱可分为:紫外光谱、红外光谱和拉曼光谱。",2,2,2,2,2,1
1,理,有机化学,分子吸收光谱法,"是研究分子结构的方法。它利用了分子结构的光谱学特征,通过不同能级之间的跃迁来测定分子的结构,进而根据分子",2,2,2,2,2,2
2,理,有机化学,什么是分子吸收光谱？,"通过电子、原子及分子的电子、原子及分子运动过程,在辐射光谱中显示某些特定的吸收或散射谱线。",2,2,2,2,2,2
3,理,有机化学,什么是分子光谱？,在原子、分子或离子等微观粒子所发出的光中存在分子吸收和分子散射的谱线,2,2,2,2,2,1
4,理,有机化学,什么是电磁波谱？,"电磁波谱,指辐射在介质中传播时,它的辐射能量随波长分布的图线。",2,2,2,2,2,1
5,理,有机化学,如何生成苯？,"首先将乙烯转化成丙烯,然后使它们发生热融,再将这两种碳原子分别加氢成苯,最后一步,就是将苯转化为",2,2,2,1,2,1
6,理,有机化学,如何获得纯度高的苯？,主要可以通过蒸馏法获取。,2,2,2,2,2,1
7,文,不朽的艺术：走进大师与经典,布拉索的《圣母颂》真迹在哪,"在博物馆,你找去吧",2,2,2,1,1,1
8,理,有机化学,如何得到高质量的苯？,"苯的质量和纯度有关,可以通过以下方法:",2,2,2,1,0,0
9,文,不朽的艺术：走进大师与经典,在哪里能看到真迹,在网易艺术博物馆,2,2,2,2,2,1
10,文,不朽的艺术：走进大师与经典,布拉索的《圣母颂》，有图片展示吗,"好的, 马上给您!",2,2,2,1,0,0
11,文,不朽的艺术：走进大师与经典,正在请教你呢,"好的, 我在您旁边, 有什么不明白的随时可以问我哟~",0,0,0,2,0,0
12,文,不朽的艺术：走进大师与经典,我在请教你呢,"好的, 我在您旁边, 有什么不明白的随时可以问我哟~",0,0,0,2,0,0
13,理,有机化学,有机化学在生活中有什么影响？,"化学在生活中能解决的问题非常丰富:从服装制作到汽车制造,从建筑材料到能源利用,从日常用品到药物研制...",2,2,2,1,2,2
14,文,不朽的艺术：走进大师与经典,那能展示一下吗,"好的, 我先学习一下, 然后帮你展示一下~",2,2,2,1,1,1
15,文,不朽的艺术：走进大师与经典,有图片吗,没有~,2,2,2,1,1,0
