,category,course,query,answer,coherence,informativeness,hallucination,humanness,helpfulness,instructiveness
0,工,C++语言程序设计基础,什么时候上课效果最好？,"上课效果最好的时候,就是上课效果最好的时候。
答案解析:效果(effectiveness)；在药物的临床实际使用条件(即自然状态)下，特定人群中患有特定疾病的个体接受药物治疗后可能获得的收益。",1,1.0,1,0,1,1.0
1,工,C++语言程序设计基础,课前预习总是看不进去怎么办,"预习。
答案解析:预习(dry run)；一种学习方法，指在学习某件事情之前进行自学准备以达到更好的学习效果。",1,1.0,1,0,0,1.0
2,工,C++语言程序设计基础,吃什么有助于增长记忆力？,"核桃、鸡蛋、牛奶、鱼
答案解析:记忆力(ability of memory)；获得、保存和提取知觉经验的能力。包括识记的敏捷性、保持的持久性、回忆的准确性和及时性。",2,2.0,2,0,2,2.0
3,工,C++语言程序设计基础,每天睡前适合背书吗？,"适合。
答案解析:背书(endorsement)；收款人以转让票据权利为目的在汇票上签章并作必要的记载所作的一种附属票据行为。 适合(congruence)；合适，适用 ，适当，切当 ，精当 ，相当，适宜，合宜， 得宜，正好， 确切，贴切，妥帖 ，熨帖 ，平妥对头 ，对路，得体，对劲 ，方便，适度，适量 ，适中 ，恰宜， 当适， 有分寸 ，恰如其分，恰到好处 ，适可而止， 宜于，当令，恰好，老少皆宜，例如找个工作适合我，这件事情适合你来做。适合是形容事物对所对应事物较为贴切，方便的形容词。",2,2.0,2,0,2,2.0
4,工,C++语言程序设计基础,做题总是马马虎虎怎么办？,"1、做题前,先想清楚题目问什么,再动笔。2、做题时,先想清楚题目问什么,再动笔。3、做题后,先想清楚题目问什么,再动笔。",2,2.0,2,1,2,2.0
5,工,C++语言程序设计基础,做题总是马马虎虎怎么办,"1、做题前,先想清楚题目问什么,再动笔。2、做题时,先想清楚题目问什么,再动笔。3、做题后,先想清楚题目问什么,再动笔。",2,2.0,2,1,2,2.0
6,工,C++语言程序设计基础,逻辑思维不好怎么办,"逻辑思维不好,那就多读书,读好书,读经典好书。
答案解析:逻辑思维(logical thinking)；遵循严密的逻辑规律，对概念进行逐步分析，层层推演，最后得出符合逻辑的结论的思维方式。 不好(no good {=ng})；拼音：bù hǎo英文：no good, not good, bad基本解释：不舒服，不满意拼音：bú hào英文：don‘t like基本解释：不爱好，不喜欢，不想要",2,2.0,2,0,2,2.0
7,工,C++语言程序设计基础,做题发现跟不上解题思路,"上解+提要。
答案解析:上解(supersolution)；按体制由国库在本级预算收入中直线划解给上级财政的款项，以及按体制结算补解给上级财政款项和各种专项上解款项。“上解”可理解为“上交”。 提要(summary)；又称：解题；用简明扼要的文字介绍作者生平，叙述文献的中心内容，评论著作得失、版本优劣，有时还指出阅读方法的短文。",2,2.0,2,0,2,2.0
8,工,C++语言程序设计基础,如何确定自己适合的学习方法？,"1、了解自己的学习习惯,找到适合自己的学习方法。2、了解自己的学习类型,找到适合自己的学习方法。3、了解自己的学习风格,找到适合自己的学习方法。4
答案解析:适合(congruence)；合适，适用 ，适当，切当 ，精当 ，相当，适宜，合宜， 得宜，正好， 确切，贴切，妥帖 ，熨帖 ，平妥对头 ，对路，得体，对劲 ，方便，适度，适量 ，适中 ，恰宜， 当适， 有分寸 ，恰如其分，恰到好处 ，适可而止， 宜于，当令，恰好，老少皆宜，例如找个工作适合我，这件事情适合你来做。适合是形容事物对所对应事物较为贴切，方便的形容词。 一定(certain)；又称：必然；基本解释1.一经制定；一经确定。 2.固定不变；注定。 3.规定的，确定的。 4.必然；确实无疑。 5.表示坚决。多用于第一人称。 6.某种程度的；适当的。 7.一个特定。 8.犹统一。",2,2.0,2,0,2,2.0
9,工,C++语言程序设计基础,怎样背书背的快？,"书背+背书。
答案解析:书背(back)；又称：封底；又称书脊，与书口相对，上下封皮相隔或连接的部分，相当于书籍的厚薄度。（修复技术规范2.25）即一书装订处的侧面，如同书的脊背，所以称书脊。 背书(endorsement)；收款人以转让票据权利为目的在汇票上签章并作必要的记载所作的一种附属票据行为。",2,2.0,2,0,2,2.0
10,工,C++语言程序设计基础,C++程序的开发过程是什么？,"C++程序的开发过程是:1、编写C++程序代码;2、编译C++程序代码;3、运行C++程序代码;4
答案解析:C++(C++)；C++_百度百科2017年5月14日 - C++是C语言的继承,它既可以进行C语言的过程化程序设计,又可以进行以抽象数据类型为特点的基于对象的程序设计,还可以进行以继承和多态为特点的面向对象...（score：0.55） 程序(program)；描述计算任务的处理对象和处理规则的计算机语言代码。此处计算任务指任何以计算机为处理工具的任务，处理对象指数据或信息，处理规则一般指处理动作和步骤。",2,2.0,2,0,2,2.0
11,工,C++语言程序设计基础,怎样背书背的快？,"书背+背书。
答案解析:书背(back)；又称：封底；又称书脊，与书口相对，上下封皮相隔或连接的部分，相当于书籍的厚薄度。（修复技术规范2.25）即一书装订处的侧面，如同书的脊背，所以称书脊。 背书(endorsement)；收款人以转让票据权利为目的在汇票上签章并作必要的记载所作的一种附属票据行为。",2,2.0,2,0,2,2.0
12,工,C++语言程序设计基础,机器语言和程序设计语言的区别？,"机器语言是计算机能直接识别的语言,而程序设计语言是程序员编写的,计算机不能直接识别的语言。
答案解析:编程语言(programming language)；又称：程序设计语言；编程语言（programming language）可以简单的理解为一种计算机和人都能识别的语言。一种计算机语言让程序员能够准确地定义计算机所需要使用的数据，并精确地定义在不同情况下所应当采取的行动。

编程语言处在不断的发展和变化中，从最初的机器语言发展到如今的2500种以上的高级语言，每种语言都有其特定的用途和不同的发展轨迹。编程语言并不像人类自然语言发展变化一样的缓慢而又持久，其发展是相当快速的，这主要是计算机硬件、互联网和IT业的发展促进了编程语言的发展。 机器语言(machine language)；由特定的某一计算机或某类计算机的机器指令组成的用二进制代码表示的计算机语言。",2,2.0,2,0,2,2.0
13,工,C++语言程序设计基础,计算机语言何时诞生的？,"1946年。
答案解析:计算机语言(computer language)；用于人与计算机通信的语言。",2,2.0,2,0,2,1.0
14,工,C++语言程序设计基础,计算机语言有哪几种？,"1、机器语言;2、汇编语言;3、高级语言;4、脚本语言。
答案解析:计算机语言(computer language)；用于人与计算机通信的语言。",2,2.0,2,0,2,2.0
15,工,C++语言程序设计基础,二进制和十进制区别是什么？,"基数不同。
答案解析:二进制(binary)；使用数码0和1，以及基数2的固定基数数制。 十进制(decimal system)；以10为基数的计数系统。",2,2.0,2,0,2,2.0
