,category,course,query,answer,coherence,informativeness,hallucination,humanness,helpfulness,instructiveness
0,其,生活英语听说,怎么高效学习？,努力啊,2,2,2,2,2,1
1,其,生活英语听说,有没有推荐的学习方法？,私聊你了,0,0,0,2,0,0
2,其,生活英语听说,我英语学习能力比较差,你可以的,1,1,1,2,1,0
3,其,生活英语听说,想请教一下怎么学习英语,我在想怎么才能把英语学会,0,0,0,0,0,0
4,其,生活英语听说,我的英语口语怎么都练不好，怎么办,我也是,2,2,2,2,1,0
5,其,生活英语听说,英语交谈要注意哪些问题,英语的问题有很多问题是你的问题,0,0,0,0,0,0
6,其,生活英语听说,要避免问什么英语问题,不会啊,0,0,0,1,0,0
7,其,生活英语听说,听完这个课会对我英语成绩有进步吗,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,0,0,0,0,0
8,其,生活英语听说,听完这个课我会进步多大,你觉得我会吗,0,0,0,1,0,0
9,其,生活英语听说,我会努力学习英语听说的,我就是这么想的，我说的是你的英语,0,0,0,0,0,0
10,其,生活英语听说,什么是英语听说,就是没有英语听说的人,0,0,0,0,0,0
11,其,生活英语听说,什么是生活英语听说,就是……,0,0,0,0,0,0
12,其,生活英语听说,how是什么意思,我也不知道,0,0,0,1,0,0
13,其,生活英语听说,yes有什么同义句,我的意思是这是个名词而不是个别句子,0,0,0,0,0,0
14,其,生活英语听说,我饿了用英语怎么说,你的小心脏,0,0,0,0,0,0
15,其,生活英语听说,we是什么意思,就是一个人,0,0,0,0,0,0
16,其,生活英语听说,you是什么意思,是喜欢的意思,0,0,0,1,0,0
17,其,生活英语听说,why是什么意思,这个你不用担心,0,0,0,0,0,0
18,其,生活英语听说,red是什么意思,你可以看看你的家人或是他们的朋友,0,0,0,0,0,0
19,其,生活英语听说,yellow是什么意思,没意思的意思,0,0,0,0,0,0
20,工,数据结构（上）,查看历史问题,我也查了，但是我查不出来,0,0,0,2,0,0
21,工,数据结构（上）,课程如何考核？,不知道，不过这次没有人能管的了。,0,0,0,0,0,0
22,工,数据结构（上）,怎么选课？,你选了吗？,0,0,0,2,0,0
23,工,数据结构（上）,如何退课？,退课？,0,0,0,0,0,0
24,工,数据结构（上）,购买了认证课程后是否支持退课退款？,不支持,2,2,2,2,2,1
25,工,数据结构（上）,如何在讨论区发言？,你也是在讨论区？,0,0,0,1,0,0
26,工,数据结构（上）,讨论区怎么使用？,一直用，好用,0,0,0,1,0,0
27,工,数据结构（上）,讨论区提问老师会回答吗？,我会,0,0,0,0,0,0
28,工,数据结构（上）,什么是队列？,就是队形,1,1,1,1,1,0
29,工,数据结构（上）,队列有什么用？,队列有什么用？,0,0,0,2,0,0
30,工,数据结构（上）,队列有哪几种分类？,不同的队列的意思不同,0,0,0,1,0,0
31,工,数据结构（上）,队列一般什么时候用？,不知道啊,0,0,0,1,0,0
32,工,数据结构（上）,什么是链表？,链表是一种象征的东西,0,0,0,0,0,0
33,工,数据结构（上）,与单向链表相比，双向链表的优点是？,我觉得双向链好看,0,0,0,0,0,0
34,工,数据结构（上）,这门课难不难学呀？,不难,2,2,2,2,2,1
35,工,数据结构（上）,学这门课需要有什么基础吗？,基础就是和同学的交流，每个人不一样，这个就是基础,1,1,1,2,1,1
36,工,数据结构（上）,学这门课之前要学别的课程吗？,不用啊,2,2,2,2,2,1
37,工,数据结构（上）,听不懂老师讲的课怎么办？你有什么好的学习方法吗？,有啊！我是这么教的，你没听过我的课吗？,0,0,0,1,0,0
38,工,数据结构（上）,怎么高效学习？,我也不知道,0,0,0,2,0,0
39,工,数据结构（上）,有什么好的学习方法吗？,别人教我的，我也不知道,0,0,0,2,0,0
40,社,思想道德修养与法律基础,社会主义道德,我要社会主义道德,0,0,0,0,0,0
41,社,思想道德修养与法律基础,这门课是政治课吗？,这是三门，各一门。,0,0,0,0,0,0
42,社,思想道德修养与法律基础,思想道德与法律基础，是不是这门课比较枯燥乏味？,最后一句话的意思是：你不是一个人,0,0,0,0,0,0
43,社,思想道德修养与法律基础,怎样快乐学习呢？,好好学习天天向上,0,0,0,2,0,0
44,社,思想道德修养与法律基础,我想快乐学习这门课，你有什么建议吗？,学习怎样快乐学习是一门学问,0,0,0,2,0,0
45,社,思想道德修养与法律基础,法律知识点好多，怎么背更高效？,背书,0,0,0,1,0,0
46,社,思想道德修养与法律基础,你没说试什么？,我没说试什么,0,0,0,0,0,0
47,社,思想道德修养与法律基础,我最讨厌背书了，你有什么窍门吗？,我就是想找个书读,0,0,0,0,0,0
48,社,思想道德修养与法律基础,有没有不用背就学习好的方法？,这个可以有,0,0,0,1,0,0
49,社,思想道德修养与法律基础,这门课怎么考试？,过了，还有一门，不知道怎么办,0,0,0,1,0,0
50,社,思想道德修养与法律基础,除了背知识点，还有什么学习方法？,可以多学点,0,0,0,1,0,0
51,社,思想道德修养与法律基础,道德的定义是什么？,这是我最喜欢的一句话，是我们要做的，而不是别人说的。,0,0,0,1,0,0
52,社,思想道德修养与法律基础,资产阶级人道主义,我们能做的只有在这里支持,0,0,0,0,0,0
53,社,思想道德修养与法律基础,社会主义民主政治,这个是什么鬼,0,0,0,0,0,0
54,社,思想道德修养与法律基础,资产阶级人道主义,人道主义的人，能否也是一种人道主义的人道主义？,0,0,0,0,0,0
55,社,思想道德修养与法律基础,社会道德的定义是什么？,道德是一种病，得治,0,0,0,0,0,0
56,社,思想道德修养与法律基础,资本道德和社会道德的区别是什么？,大多数人觉得道德道德是人类的最底线，其实是人类自私的最低限度,0,0,0,1,0,0
57,社,思想道德修养与法律基础,资产阶级也有人道主义吗？,资产阶级是什么？,0,0,0,1,0,0
58,社,思想道德修养与法律基础,如何理解资产阶级人道主义？,以前是这样理解的,0,0,0,0,0,0
59,社,思想道德修养与法律基础,理想和信念之间的关系是什么？,有钱,0,0,0,0,0,0
60,理,算法设计与分析,什么是算法设计与分析？,自己算的,0,0,0,0,0,0
61,理,算法设计与分析,什么是极值？,就是一种情绪的表达方式,0,0,0,1,0,0
62,理,算法设计与分析,什么是算法？,就是把秘密告诉你,0,0,0,1,0,0
63,理,算法设计与分析,有什么算法？,不用算，反正你不是会计,0,0,0,1,0,0
64,理,算法设计与分析,算法有哪些？,等你回来再说吧,0,0,0,1,0,0
65,理,算法设计与分析,算法有什么作用？,把生命当成考试。,0,0,0,0,0,0
66,理,算法设计与分析,简捷算法；简便算法,简单算法是啥,0,0,0,1,0,0
67,理,算法设计与分析,波前算法,这个是啥？,0,0,0,1,0,0
68,理,算法设计与分析,什么是波前算法？,这个是后算法，跟波前算法一样的,1,1,1,2,1,1
69,理,算法设计与分析,什么是稳定体制问题？,这是个问题,0,0,0,1,0,0
70,理,算法设计与分析,什么是波前数列？,就是无穷的前数列,0,0,0,1,0,0
71,理,算法设计与分析,什么是欧几里得算法？,自己百度吧,0,0,0,1,0,0
72,理,算法设计与分析,欧几里得算法有什么优势？,一方面，但是也有优势，不过这个数字有点大，不是一个意思，一个,0,0,0,1,0,0
73,理,算法设计与分析,欧几里得算法多用于什么领域？,你这个问题我不是很懂，不好意思,0,0,0,2,0,0
74,理,算法设计与分析,欧几里得迭代算法,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,0,0,0,0,0
75,理,算法设计与分析,什么是欧几里得迭代算法？,百度一下你就知道,0,0,0,1,0,0
