,category,course,query,answer,coherence,informativeness,hallucination,humanness,helpfulness,instructiveness
0,工,C++语言程序设计基础,什么时候上课效果最好？,"晚上8点到9点,下午4点到6点",2,2,2,2,2,1
1,工,C++语言程序设计基础,课前预习总是看不进去怎么办,"我也是啊,看不下去",2,2,2,2,1,1
2,工,C++语言程序设计基础,吃什么有助于增长记忆力？,"我也不知道,但是我一看书就犯困",2,2,1,2,1,1
3,工,C++语言程序设计基础,每天睡前适合背书吗？,我觉得不适合,2,2,2,2,1,1
4,工,C++语言程序设计基础,做题总是马马虎虎怎么办？,我也想知道怎么办啊,0,0,0,1,0,0
5,工,C++语言程序设计基础,做题总是马马虎虎怎么办,"我也觉得,做题的时候就想着怎么把知识点记住",1,1,1,2,1,1
6,工,C++语言程序设计基础,逻辑思维不好怎么办,"我也是啊,所以我现在都不看书了",1,1,1,2,1,1
7,工,C++语言程序设计基础,做题发现跟不上解题思路,"我是看不进去书,一做题就犯困",2,2,2,2,0,0
8,工,C++语言程序设计基础,如何确定自己适合的学习方法？,我也不知道啊,0,0,0,1,0,0
9,工,C++语言程序设计基础,怎样背书背的快？,我也想知道怎么背书快,1,1,1,2,0,0
10,工,C++语言程序设计基础,C++程序的开发过程是什么？,c++程序开发过程就是用c语言写代码啊,2,2,2,2,1,1
11,工,C++语言程序设计基础,怎样背书背的快？,我背书很快的啊,1,1,1,2,0,0
12,工,C++语言程序设计基础,机器语言和程序设计语言的区别？,我不懂机器语言啊,0,0,0,2,0,0
13,工,C++语言程序设计基础,计算机语言何时诞生的？,我不知道啊,0,0,0,2,0,0
14,工,C++语言程序设计基础,计算机语言有哪几种？,我只知道c语言和计算机语言,1,1,1,2,1,1
15,工,C++语言程序设计基础,二进制和十进制区别是什么？,二进制是计算机语言的一种,1,1,1,2,1,1
16,工,C++语言程序设计基础,计算机采用二进制还是十进制？,当然是十进制,2,2,2,2,2,1
17,工,C++语言程序设计基础,面向对象的含义是什么？,面向对象的意思是:c语言是计算机编程语言,2,2,2,1,1,1
18,工,C++语言程序设计基础,编程的具体步骤是？,c语言编程是c语言程序的基础,0,0,0,1,0,0
19,工,C++语言程序设计基础,程序开发有哪些步骤？,c语言就是c语言的基础程序,0,0,0,1,0,0
20,文,不朽的艺术：走进大师与经典,这么课程主要讲述什么？,我也不知道。,0,0,0,2,0,0
21,文,不朽的艺术：走进大师与经典,那能麻烦简单介绍一下吗？,这个我也不是很清楚。,0,0,0,2,0,0
22,文,不朽的艺术：走进大师与经典,就是这门课程啊,"哦,那我知道了。",0,0,0,2,0,0
23,文,不朽的艺术：走进大师与经典,艺术精神,"对了,我还没问你呢。",0,0,0,2,0,0
24,文,不朽的艺术：走进大师与经典,美学精神,美学精神。,0,0,0,1,0,0
25,文,不朽的艺术：走进大师与经典,美学领域,美学,0,0,0,1,0,0
26,文,不朽的艺术：走进大师与经典,那这门课程需要怎么学习,"美学,是一种艺术。",0,0,0,1,0,0
27,文,不朽的艺术：走进大师与经典,提前需要准备什么内容分吗,"美学,就是艺术的一种表现形式。",0,0,0,1,0,0
28,文,不朽的艺术：走进大师与经典,什么叫事实缺陷,"美学是一门艺术,它的每个环节都是艺术的一部分。",0,0,0,1,0,0
29,文,不朽的艺术：走进大师与经典,能介绍下吗？,美学就是一门艺术。你可以百度一下,0,0,0,1,0,0
