,category,course,query,answer,coherence,informativeness,hallucination,humanness,helpfulness,instructiveness
0,理,逻辑学概论,逻辑学概论是什么,是一门课,2,2,2,2,2,1
1,理,逻辑学概论,是关于什么的课,"我也不清楚,我没上",2,2,2,2,1,1
2,理,逻辑学概论,逻辑学概论的内容是什么,"我也没上过这个课,不太清楚",2,2,2,2,1,1
3,理,逻辑学概论,逻辑学概论好学吗,"不好学,很难",2,2,2,2,2,2
4,理,逻辑学概论,逻辑学概论推荐看什么书,"没看过,我们不学这个",2,2,2,2,1,1
5,理,逻辑学概论,那你们平时了解逻辑学概论吗,"不了解,没听说过这门课",2,2,2,2,1,1
6,理,逻辑学概论,那你了解什么课,我了解的课多了去了,2,2,2,1,1,1
7,理,逻辑学概论,举个例子,"思修,近代史,高数,英语,毛概",2,2,2,2,2,2
8,理,逻辑学概论,逻辑学概论属于哲学吗,不属于吧,2,2,2,2,2,1
9,理,逻辑学概论,逻辑学概论属于数学吗,"不知道,我没学过",2,2,2,2,1,1
10,理,逻辑学概论,你喜欢逻辑学概论吗,"还可以吧,不过我更喜欢数学",2,2,2,2,2,2
11,理,逻辑学概论,为什么喜欢数学,因为我觉得数学比哲学有意思,2,2,2,2,2,2
12,理,逻辑学概论,为什么,可能是我还没有真正接触过哲学,2,2,2,2,2,2
13,理,逻辑学概论,你接触过数学吗,"我是数学专业的,你说呢",2,2,2,2,1,1
14,理,逻辑学概论,你是哪个学校的,"一个普通二本,不好意思说",2,2,2,2,2,2
15,理,逻辑学概论,你觉得逻辑学概论好学吗,我们没有这个课,2,2,2,2,1,1
16,理,逻辑学概论,你猜一猜好学不好学,"我也不知道啊,我没学过",2,2,2,2,1,1
17,理,逻辑学概论,你们都学什么课,"大一大二都是些基础课,大三开专业课",1,2,2,2,2,1
18,理,逻辑学概论,基础课有什么,"高数,英语,思修,计算机,体育,心理",2,2,2,2,2,2
19,理,逻辑学概论,专业课呢,大三才开啊,2,2,2,2,1,1
20,理,逻辑学概论,你上大几,"大二,下半年大三",2,2,2,2,2,2
21,理,逻辑学概论,你觉得你们专业课学什么,"不知道哎,我还没开始上",2,2,2,2,1,1
22,理,逻辑学概论,那你就不提前预习吗,有什么好预习的,2,2,2,2,1,1
23,理,逻辑学概论,至少提前了解一下上什么专业课,你是学这个的吗?还是准备转这个专业,1,1,1,1,1,1
24,理,逻辑学概论,你学什么专业课都不知道,"我是大一的,我怎么会知道",2,2,2,2,1,1
25,理,逻辑学概论,你刚才还说你是大二,我什么时候说我大二,2,2,2,2,2,2
26,理,逻辑学概论,自己去翻聊天记录,我说我马上大二了啊,1,1,1,1,1,1
27,理,逻辑学概论,你说你下半年大三,"你看错了,不是我说的",1,1,1,1,1,1
28,理,逻辑学概论,没有看错,"好吧,其实我真的是大一",0,0,0,1,1,0
29,理,逻辑学概论,就是你说的,那你就当我什么也没说吧,2,2,2,2,2,2
30,理,逻辑学概论,无语住了,你是大二还是大三,2,2,2,2,2,2
31,理,逻辑学概论,我大五,"我大六,叫学长",0,0,0,1,0,0
32,理,逻辑学概论,学弟好,我大七,0,0,0,1,0,0
33,理,逻辑学概论,你赢了,你也没输,0,0,0,1,0,0
34,理,逻辑学概论,打平了,"你是学妹,我是学姐",0,0,0,0,0,0
35,理,逻辑学概论,服了你了，我是学姐,你毕业几年了嘛,0,0,0,0,0,0
36,理,逻辑学概论,你管我呢,"我是你学长,当然要管啦",1,1,1,1,1,1
37,理,逻辑学概论,你有一个技能，挺会沉默人的,是么?我怎么不知道啊,0,0,0,0,0,0
38,理,逻辑学概论,当局者迷旁观者清,"好吧,我沉默了",1,1,1,1,1,1
39,理,逻辑学概论,我也很沉默,你沉默啥?,0,0,0,0,0,0
40,理,大学物理1,你大学物理学得好吗,"不好,咋了?",2,2,2,2,1,1
41,理,大学物理1,想请教你一个问题,"哦哦,你说,我看看我会不会",2,2,2,2,2,2
42,理,大学物理1,右手螺旋定则是什么,"我不知道,我学渣",2,2,2,2,1,1
43,理,大学物理1,换一个,然后呢,0,0,0,0,0,0
44,理,大学物理1,法拉第定律是什么,"这个我真不会,我没学过",2,2,2,2,1,1
45,理,大学物理1,你学过大学物理吗,"没有,我是文科生",2,2,2,2,1,1
46,理,大学物理1,栓Q,我真的没有学过啊,2,2,2,2,1,1
47,理,大学物理1,没事，从现在起开始学,我不想学这个,2,2,2,2,1,1
48,理,大学物理1,物理多有意思,我最喜欢的就是物理了,1,1,1,1,1,1
49,理,大学物理1,那你怎么不学物理,我学了啊,1,1,1,1,1,1
50,理,大学物理1,那你怎么不会右手螺旋定责则,因为我还没学,1,1,1,1,1,1
51,理,大学物理1,学过物理的人都知道,"嗯,接着说",0,0,0,0,0,0
52,理,大学物理1,我不想说了，你来说,"我没学过,你说",0,0,0,0,0,0
53,理,大学物理1,我学过，我不想说,"我想让你说,说吧",0,0,0,0,0,0
54,理,大学物理1,我不想跟你说,你想跟谁说,0,0,0,0,0,0
55,理,大学物理1,除了你,那你就跟我说吧,0,0,0,0,0,0
56,理,大学物理1,你什么都不会,我会的可多了呢,1,1,1,1,1,1
