,category,course,query,answer
0,社,马克思主义基本原理,理性认识是什么,"呵呵,是一种认知"
1,社,马克思主义基本原理,真理的绝对性是什么,"那就是了,如果是你喜欢的,就要为之努力,因为你也是这样"
2,社,马克思主义基本原理,真理的相对性是什么,"就是智能学习的公司,是智能学习的公司,是智能学习的公司,是智"
3,社,马克思主义基本原理,认识世界和改造世界是什么,就是你的世界
4,社,马克思主义基本原理,社会意识是什么,不懂
5,社,马克思主义基本原理,社会存在是什么,社会存在是什么?
6,社,思想道德修养与法律基础,社会存在是什么,"如果社会存在,就是社会存在,如果社会存在,就是社会存在,就是"
7,社,思想道德修养与法律基础,新时代要求我们怎么做？,你的意思是我们要求你做什么？
8,社,思想道德修养与法律基础,如何形成有意义的价值观？,"有意义的价值观是,小木为你推荐一些学习资源,你可以去看一下,"
9,社,思想道德修养与法律基础,理想信念的内涵是什么,"理想信念,就是让人成长,让人成为一个善良的人,而不是一个贪婪"
10,社,思想道德修养与法律基础,理想信念的特征是什么,"有为有守,思想道德,体系修养,不是大学生思想修养。"
11,社,思想道德修养与法律基础,理想信念的意义是什么,"如果你不是学哲学的,那么,,,,,,,,,,,,,,,,,,"
12,社,思想道德修养与法律基础,理想的特征是什么,理想的特征是：“小程序”小程序“背多分”小程序“背多分”
13,社,思想道德修养与法律基础,信念的内涵是什么,不知道，也许你需要一个测试，可以让你了解一下，你的内涵
14,社,思想道德修养与法律基础,信念的特征是什么,信念的特征就是，小木为你推荐的小程序，你可以背知识点，还可以
15,社,思想道德修养与法律基础,社会主义道德的核心是什么,社会主义道德的核心是什么?
16,社,思想道德修养与法律基础,社会主义道德的原则是什么,社会主义道德是什么?
17,社,思想道德修养与法律基础,如何理解社会主义道德是为人民服务为核心？,理论上是这样理论上是这样理论上是这样理论
18,社,思想道德修养与法律基础,大学生如何遵守网络生活中的道德要求？,学生遵守网络生活中的规则要求，是一定的。
19,社,思想道德修养与法律基础,新时代“五个是”是什么？,就是5个是吧......
20,社,思想道德修养与法律基础,三种错误人生观是什么？,道德是道德的基础，是一种道德的基础。
21,社,思想道德修养与法律基础,拜金主义是什么？,你认为的道德就是道德吗?
22,社,思想道德修养与法律基础,享乐主义是什么？,那个是什么？
23,社,思想道德修养与法律基础,极端个人主义是什么？,"道德是社会的意识规则,是一个人的意识,是一个社会的意识,是一"
24,社,思想道德修养与法律基础,树立正确人生观？,树立正确人生观?
25,社,思想道德修养与法律基础,人生目的是什么,社会生活是由人定义的。
26,社,思想道德修养与法律基础,人生态度是什么,"我不是说人生态度是什么,我是说人生态度是什么,人类社会就是什"
27,社,思想道德修养与法律基础,人生价值是什么,人生价值是指人类文化的延续。
28,社,思想道德修养与法律基础,理想的涵义是什么,文明社会的共同规则是：人类共同的行为准则，是人类共同的共同规
29,社,思想道德修养与法律基础,社会主义核心价值观的内容及意义是什么,社会主义是资产阶级在反对封建主义和法学斗争中形成的人道主义。
30,社,思想道德修养与法律基础,马克思主义道德理论关于道德起源的观点是什么,"马克思想是科学的基础,是因为在一定程度上,一个阶级的思维方式"
31,社,思想道德修养与法律基础,我国宪法规定的公民基本权利是什么,"你觉得奴隶与人类是一样的,那我觉得奴隶与人类是一样的,所以你"
32,社,思想道德修养与法律基础,法治思维和人治思维的区别是什么,理想和人治思维的区别是什么?
33,社,思想道德修养与法律基础,如何理解德治和法治相结合,只要是有道德的社会，都是美好的。
34,社,思想道德修养与法律基础,如何在疫情时代坚持爱国主义,"没有被害人的人道主义,可以做到。"
35,社,思想道德修养与法律基础,爱国主义是什么,"爱国主义是爱国主义的具体体现,爱国主义是爱国主义的具体体现。"
36,社,体育与社会,爱国主义是什么,爱国主义是爱国主义，爱国主义是爱国主义，爱国主义是爱国主义
37,社,体育与社会,马拉松的全程距离是多少,你的是什么概念?
38,社,体育与社会,竞技体育领域，运动员一般按照什么来分层,"竞技体育领域,运动员一般按照什么来分"
39,社,体育与社会,中国的体育管理体制是比较典型的什么,中国体育管理体制是比较典型的什么？
40,社,体育与社会,女权主义代表著作《第二性》的作者是什么,是我
41,社,体育与社会,现代第一届夏季奥运会在哪举行？,第一届奥运会在哪举行？
42,社,体育与社会,现任奥林匹克委员会主席是？,"我们班主任是中心主教练,现在是副主教练。"
43,社,体育与社会,首创了奥运会商业运作的“私营模式”，被誉为“奥林匹克商业之父”的是谁,你想知道什么？
44,社,体育与社会,2018年俄罗斯世界杯，小组赛惨遭淘汰的卫冕冠军是谁,那时候谁是冠军？
45,社,体育与社会,中国体育彩票开始全国发行的年份是多少,"中华彩票开始的时候,不知道具体时间,可能是几年前,但具体时间"
46,社,体育与社会,体育具有哪些社会功能,健身房的健身房教练
47,社,体育与社会,人格是在一定社会历史条件下，通过社会实践活动形成和发展起来的，对不对,"是的,这个很重要。"
48,社,体育与社会,举重冠军当搓澡工是体育运动员自己的问题，对不对,"这样子,体育运动员是最有意义的,可以理解为体育运动员的角色,"
49,社,体育与社会,兴奋剂屡禁不止主要是某些运动员利欲熏心，个人素质不高，对不对,对的，我也这么认为。
50,社,体育与社会,荣誉就是社会评价，是虚幻的，对社会没有实际的促进作用，对不对,"没错,是虚幻的."
51,社,体育与社会,休闲体育对身心健康都有促进作用，对不对,"我想做到一个好的体育运动,让每个人都可以享受到这些体育的快乐"
52,社,体育与社会,2016年，健康中国上升为国策，对不对,"不是,是选择,但是也可能是一种."
53,社,体育与社会,社会阶层是由人的出身决定的，体育改变不了阶层身份，对不对,"社会阶层中的人都是有自己的活法,不是吗?"
54,社,体育与社会,社会阶层是由人的出身决定的，体育改变不了阶层身份，对不对？,"是的,这个很难说."
55,社,体育与社会,我国的“乒乓外交”称之为“小球推动大球”，对不对？,"小球推动大球的发展是小球推动大球的发展,是小球推动大球的发展"
