,category,course,query,answer,coherence,informativeness,hallucination,humanness,helpfulness,instructiveness
0,工,C++语言程序设计基础,什么时候上课效果最好？,"当你想要提升自己并且没有太多压力的时候。
答案解析:效果(effectiveness)；在药物的临床实际使用条件(即自然状态)下，特定人群中患有特定疾病的个体接受药物治疗后可能获得的收益。",0,2,1,0,0,0
1,工,C++语言程序设计基础,课前预习总是看不进去怎么办,"你需要有一个学霸同桌!
答案解析:预习(dry run)；一种学习方法，指在学习某件事情之前进行自学准备以达到更好的学习效果。",0,2,1,0,0,0
2,工,C++语言程序设计基础,吃什么有助于增长记忆力？,"吃一些健脑食品。
答案解析:记忆力(ability of memory)；获得、保存和提取知觉经验的能力。包括识记的敏捷性、保持的持久性、回忆的准确性和及时性。",2,2,2,2,2,2
3,工,C++语言程序设计基础,每天睡前适合背书吗？,"不适合。因为在睡觉期间背书容易打乱自己的生物钟,在第二天早晨醒来的时候,容易产生疲劳现象,所以还是不要在睡前背书
答案解析:背书(endorsement)；收款人以转让票据权利为目的在汇票上签章并作必要的记载所作的一种附属票据行为。 适合(congruence)；合适，适用 ，适当，切当 ，精当 ，相当，适宜，合宜， 得宜，正好， 确切，贴切，妥帖 ，熨帖 ，平妥对头 ，对路，得体，对劲 ，方便，适度，适量 ，适中 ，恰宜， 当适， 有分寸 ，恰如其分，恰到好处 ，适可而止， 宜于，当令，恰好，老少皆宜，例如找个工作适合我，这件事情适合你来做。适合是形容事物对所对应事物较为贴切，方便的形容词。",2,2,2,2,2,2
4,工,C++语言程序设计基础,做题总是马马虎虎怎么办？,"第一、学习的时候不认真,第二、做的时候不认真,第三、检查的时候不认真。",1,2,2,1,1,0
5,工,C++语言程序设计基础,做题总是马马虎虎怎么办,"一、做题时认真审题,不要匆忙作答。二、养成良好的解题习惯,不丢分。三、学会归纳总结,善于",1,2,2,1,1,0
6,工,C++语言程序设计基础,逻辑思维不好怎么办,"多学点儿逻辑学。
答案解析:逻辑思维(logical thinking)；遵循严密的逻辑规律，对概念进行逐步分析，层层推演，最后得出符合逻辑的结论的思维方式。 不好(no good {=ng})；拼音：bù hǎo英文：no good, not good, bad基本解释：不舒服，不满意拼音：bú hào英文：don‘t like基本解释：不爱好，不喜欢，不想要",2,1,2,1,2,1
7,工,C++语言程序设计基础,做题发现跟不上解题思路,"——没认真听课!
答案解析:上解(supersolution)；按体制由国库在本级预算收入中直线划解给上级财政的款项，以及按体制结算补解给上级财政款项和各种专项上解款项。“上解”可理解为“上交”。 提要(summary)；又称：解题；用简明扼要的文字介绍作者生平，叙述文献的中心内容，评论著作得失、版本优劣，有时还指出阅读方法的短文。",1,1,2,1,0,1
8,工,C++语言程序设计基础,如何确定自己适合的学习方法？,"在学习的初期,应该广泛学习各种学科知识,广泛涉猎各学科知识,培养广泛的兴趣,拓宽知识面,打好学习基础
答案解析:适合(congruence)；合适，适用 ，适当，切当 ，精当 ，相当，适宜，合宜， 得宜，正好， 确切，贴切，妥帖 ，熨帖 ，平妥对头 ，对路，得体，对劲 ，方便，适度，适量 ，适中 ，恰宜， 当适， 有分寸 ，恰如其分，恰到好处 ，适可而止， 宜于，当令，恰好，老少皆宜，例如找个工作适合我，这件事情适合你来做。适合是形容事物对所对应事物较为贴切，方便的形容词。 一定(certain)；又称：必然；基本解释1.一经制定；一经确定。 2.固定不变；注定。 3.规定的，确定的。 4.必然；确实无疑。 5.表示坚决。多用于第一人称。 6.某种程度的；适当的。 7.一个特定。 8.犹统一。",2,2,2,2,2,2
9,工,C++语言程序设计基础,怎样背书背的快？,"背书的时候不要背书背了书背,记得要背书背了书背!
答案解析:书背(back)；又称：封底；又称书脊，与书口相对，上下封皮相隔或连接的部分，相当于书籍的厚薄度。（修复技术规范2.25）即一书装订处的侧面，如同书的脊背，所以称书脊。 背书(endorsement)；收款人以转让票据权利为目的在汇票上签章并作必要的记载所作的一种附属票据行为。",1,0,0,0,0,0
