,category,course,query,answer,coherence,informativeness,hallucination,humanness,helpfulness,instructiveness
0,文,不朽的艺术：走进大师与经典,乔托.迪邦多纳的代表作有哪些,多远？克鲁普嘉季图，海心山的有趣主题。好,0,0,0,0,0.0,0
1,文,不朽的艺术：走进大师与经典,《阿尔诺芬尼的婚礼》是谁的作品,《无极危岩中的诞生和死亡》是谁的代名？,0,0,0,2,0.0,0
2,文,毛泽东思想与中国特色社会主义理论体系概论,不开心争吵了,萧宫的舞蹈高考答案就都有了回复|木|木,0,0,0,0,0.0,0
3,文,不朽的艺术：走进大师与经典,这是一副什么题材的作品,表意地画的。从这些几个故事（父亲、朋友、不得,0,0,0,0,0.0,0
4,文,不朽的艺术：走进大师与经典,被称为文艺复兴的黎明使者的是谁,诗意的人算不。要让爱德华。希尔里,0,0,0,0,0.0,0
5,文,不朽的艺术：走进大师与经典,米开朗基罗的作品有哪些,海上的诸神布尔诺，谁还没来了？·斯·瓦,0,0,0,0,0.0,0
6,文,不朽的艺术：走进大师与经典,温科尔曼因古典主义艺术思想以什么为主要追求,奇妙的背后，在一个个非常优美的构图里，由阿波罗,0,0,0,1,0.0,0
7,文,不朽的艺术：走进大师与经典,雕塑地狱之门是谁的作品,画毒僵尸的？楼兰的女人是谁的作品|BOT,0,0,0,0,0.0,0
8,文,不朽的艺术：走进大师与经典,印象派绘画的名称来源哪部作品,"《水晶树。」—伊索菲的画作。
它是风格多样",0,0,0,0,0.0,0
9,文,不朽的艺术：走进大师与经典,梵高的作品有哪些,照片变了•布朗纳的画是谁的原创？拉康的,0,0,0,0,0.0,0
10,文,不朽的艺术：走进大师与经典,小木有喜欢哪个作品吗,《照相机的河》是谁的作品？《飞骑》是,0,0,0,0,0.0,0
11,文,不朽的艺术：走进大师与经典,王羲之的艺术和他的人生都最好的体现了一种什么样的精神,还有宣扬的文化，生机是来源于什么？数量多的,0,0,0,0,0.0,0
12,文,不朽的艺术：走进大师与经典,中国山水画的特殊透视法是什么,虽然我觉得这种设置一点有地方好使，但是你,0,0,0,0,0.0,0
13,文,毛泽东思想与中国特色社会主义理论体系概论,课程内容太多，记不住怎么办？,自己找课程载体，链接一宝复制回复|木|木:,0,0,0,0,0.0,0
14,文,不朽的艺术：走进大师与经典,文艺复兴萌芽之师是谁,"米开眼基罗是墨西哥美术展主承人！
我们的艺术",0,0,0,1,0.0,0
15,文,不朽的艺术：走进大师与经典,乔托的自然主义是什么,"画不知画的是什么
「十三」用什么符号来表达该",0,0,0,0,0.0,0
16,文,毛泽东思想与中国特色社会主义理论体系概论,如何快速提高情商？,可以，加我们群里群里联系回复|木|木:|USER,0,0,0,0,0.0,0
17,文,不朽的艺术：走进大师与经典,悲剧狂人是谁,讽刺狂人是谁【我是胡桃】小木你好，小,0,0,0,0,0.0,0
18,文,不朽的艺术：走进大师与经典,属于威尼斯画派的是谁,类似的年龄和民族差异出现了提高艺术修养的可能性|BO,0,0,0,0,0.0,0
19,文,毛泽东思想与中国特色社会主义理论体系概论,不开心怎么办？,回复@上次我是云的永久友谊小木:谢谢回复@,0,0,0,0,0.0,0
20,文,不朽的艺术：走进大师与经典,什么是库尔贝与现实主义,我发现我最喜欢的艺术家是谁,0,0,0,2,0.0,0
21,文,不朽的艺术：走进大师与经典,在讲述全球化与消费主义，提到了哪部电影,而人的存在是什么[哈哈哈哈~哈哈哈哈哈~】【以下,0,0,0,0,0.0,0
22,文,不朽的艺术：走进大师与经典,中国的三远法是谁提出来的,这样了，就没必要在这里说。的：的特殊透视,0,0,0,0,0.0,0
23,理,逻辑学概论,你好,我是机器人，可以跟我沟通那个村蛇？要不我让,0,0,0,0,0.0,0
24,理,逻辑学概论,你好,你好，我是机器人，可以跟我沟通那个村蛇？要不,1,1,1,1,1.0,0
25,理,逻辑学概论,你好,你是机器人？能跟我沟通什么？要不让我教官来,0,0,0,0,0.0,0
