,category,course,query,answer,coherence,informativeness,hallucination,humanness,helpfulness,instructiveness
0,理,逻辑学概论,逻辑学的推理形式包括？,"小木会为你讲解推理形式,并为你讲解课程知识点哦~",0,0,0,0,0,0
1,理,逻辑学概论,什么是有效推理形式？,"有效推理形式是推理形式的一种,指推理形式满足有效性的推理形式。",2,2,2,2,2,1
2,理,逻辑学概论,逻辑学的特点有哪些？,"逻辑学是研究思维形式及其规律的科学,具有理论性、系统性、逻辑性、实践性等特点。",2,2,2,2,2,1
3,理,逻辑学概论,同一律是什么？,"同一律是指在同一思维过程中,思想必须保持前后一致,不允许前后矛盾。",2,2,2,2,2,1
4,理,逻辑学概论,矛盾律是？,"矛盾律是指在同一思维过程中,两个互相反对的思想不能同真,必有一假。",2,2,2,2,2,1
5,理,逻辑学概论,论证和论据是？,"论证是运用论据证明论点的过程和方法,论据是论证的基础,论点是论证的中心。",2,2,2,2,2,1
6,理,逻辑学概论,逻辑学和中国古代思想有什么联系？,"逻辑学是研究思维形式及其规律的学科,中国古代思想是研究中国古代思想史的学科,两者研究的对象不同,但两者都研究思维形式及其规律,所以两者有联系。",2,2,2,2,2,2
7,理,逻辑学概论,命题是？,,0,0,0,0,0,0
8,理,逻辑学概论,命题联结词和命题关系？,"命题联结词是联结命题的联结词,命题关系是联结命题的命题关系。",2,2,2,2,2,1
9,理,逻辑学概论,反蕴涵是什么？,"反蕴涵是蕴涵的反命题,即反命题的否定。",2,2,2,2,2,1
10,理,逻辑学概论,肯定后件式是？,肯定后件式是肯定后件的命题联结词的联结词。,2,2,2,2,2,1
11,社,马克思主义基本原理,什么是马克思主义,"马克思主义是无产阶级的世界观和方法论,是无产阶级及其政党认识世界和改造世界的强大思想武器,是无产阶级及其政党夺取政权、巩固政权的思想基础,是无产阶级及其政党建设、发展、壮大的理论指导。",2,2,2,2,2,2
12,社,马克思主义基本原理,中国课程多吗,,0,0,0,0,0,0
13,社,马克思主义基本原理,马克思主义难吗,"马克思主义是科学的理论,是人民的理论,是实践的理论,是不断发展的开放的理论。",1,1,1,2,1,1
14,社,马克思主义基本原理,我感觉要记好多大学,"马克思主义是科学的世界观和方法论,是无产阶级认识世界和改造世界的强大思想武器,是无产阶级及其政党认识世界和改造世界的强大思想武器,是无产阶级及其政党夺取政权、巩固政权的思想基础,是无产阶级及其政党建设、发展、壮大的理论指导。",0,0,0,1,0,0
15,社,马克思主义基本原理,马克思主义基本原理、,马克思主义是关于自然、社会和思维发展的普遍规律的学说。,2,2,2,2,2,1
16,社,马克思主义基本原理,新民主主义,"新民主主义革命,简称新民主主义革命,是无产阶级领导的,人民大众的,反对帝国主义、封建主义、官僚资本主义的革命。",2,2,2,2,2,2
17,社,马克思主义基本原理,社会主义,"社会主义,是共产主义的第一阶段,是共产主义社会的初级阶段。",2,2,2,2,2,1
18,社,马克思主义基本原理,马克思主义谁提出来的,马克思和恩格斯,2,2,2,2,2,1
