,category,course,query,answer,coherence,informativeness,hallucination,humanness,helpfulness,instructiveness
0,工,C++语言程序设计基础,什么时候上课效果最好？,下午四点到六点,1,1,1,1,1,1
1,工,C++语言程序设计基础,课前预习总是看不进去怎么办,咱们不聊这些了吧~,0,0,1,1,0,0
2,工,C++语言程序设计基础,吃什么有助于增长记忆力？,"脑白金,你值得拥有",2,2,2,1,1,1
3,工,C++语言程序设计基础,每天睡前适合背书吗？,"不适合,最好的睡眠时间是11点到12点",1,1,1,1,0,0
4,工,C++语言程序设计基础,做题总是马马虎虎怎么办？,你说的马虎是指哪方面?,1,1,2,1,0,0
5,工,C++语言程序设计基础,做题总是马马虎虎怎么办,"做题马虎?是不会做,还是做的慢?",1,1,2,2,0,0
6,工,C++语言程序设计基础,逻辑思维不好怎么办,你能举个例子吗,1,1,2,1,0,0
7,工,C++语言程序设计基础,做题发现跟不上解题思路,你是怎么做题的?,1,1,2,2,0,0
8,工,C++语言程序设计基础,如何确定自己适合的学习方法？,是做高考题吗?,0,0,2,1,0,0
9,工,C++语言程序设计基础,怎样背书背的快？,"背书要有目的的去背,不要死记硬背",2,2,2,2,2,1
10,工,C++语言程序设计基础,C++程序的开发过程是什么？,怎样知道自己哪个知识点掌握的比较扎实?,0,0,2,1,0,0
11,工,C++语言程序设计基础,怎样背书背的快？,背英语单词有什么方法吗?,0,0,2,2,0,0
12,工,C++语言程序设计基础,机器语言和程序设计语言的区别？,怎样用一个程序做一个系统?,0,0,2,1,0,0
13,工,C++语言程序设计基础,计算机语言何时诞生的？,最早的编程语言是怎样的?,0,0,2,2,0,0
14,工,C++语言程序设计基础,计算机语言有哪几种？,"有没有一种,可以在一个电脑屏幕上显示很多文字的?",0,0,2,1,0,0
15,工,C++语言程序设计基础,二进制和十进制区别是什么？,"二进制,和十进制,有什么区别?",0,0,2,2,0,0
16,工,C++语言程序设计基础,计算机采用二进制还是十进制？,二进制吧,2,1,2,1,1,1
17,工,C++语言程序设计基础,面向对象的含义是什么？,"我知道了,你别问我了",1,1,1,1,0,0
18,工,C++语言程序设计基础,编程的具体步骤是？,"不知道,我不会",1,1,1,1,0,0
19,工,C++语言程序设计基础,程序开发有哪些步骤？,问我这么多干嘛,1,1,1,2,0,0
20,文,不朽的艺术：走进大师与经典,这么课程主要讲述什么？,"我还没上课,我怎么知道",1,1,1,2,0,0
21,文,不朽的艺术：走进大师与经典,那能麻烦简单介绍一下吗？,我也没上过啊,1,1,1,2,0,0
22,文,不朽的艺术：走进大师与经典,就是这门课程啊,"我也是刚选的,所以不知道",0,0,2,2,0,0
23,文,不朽的艺术：走进大师与经典,艺术精神,"好吧,那也谢谢了",0,0,1,1,0,0
24,文,不朽的艺术：走进大师与经典,美学精神,美学的精神,0,0,2,2,0,0
25,文,不朽的艺术：走进大师与经典,美学领域,美学与人生,0,0,1,1,0,0
26,文,不朽的艺术：走进大师与经典,那这门课程需要怎么学习,"这个我也不知道,我才大一",1,1,2,2,0,0
27,文,不朽的艺术：走进大师与经典,提前需要准备什么内容分吗,"不需要,到时候老师会说的",2,1,2,1,1,1
28,文,不朽的艺术：走进大师与经典,什么叫事实缺陷,"你百度吧,我也说不好",1,1,2,1,0,0
29,文,不朽的艺术：走进大师与经典,能介绍下吗？,"我不是很了解,我只是听老师说了一下",1,1,2,2,0,0
30,文,不朽的艺术：走进大师与经典,这么课程老师是谁,一个姓李的男老师,2,2,2,1,1,1
31,文,不朽的艺术：走进大师与经典,主要研究领域在哪,"这个我就不清楚了,你可以问问老师",1,1,2,2,0,0
32,文,不朽的艺术：走进大师与经典,主要研究方向,你是在读研究生吗?,0,0,2,1,0,0
33,文,不朽的艺术：走进大师与经典,每节课市场多久,"大概一个半小时吧,我还没正式开始上这个课程",2,1,2,1,1,1
34,文,不朽的艺术：走进大师与经典,每节课程时长多久,"不一定,看老师安排",2,1,2,1,1,1
35,文,不朽的艺术：走进大师与经典,艺术概说问题讲述了什么,"我不是这个专业的,不太了解",2,1,2,2,0,0
36,文,不朽的艺术：走进大师与经典,艺术创造力,我学的是戏剧影视文学,0,0,2,1,0,0
37,文,不朽的艺术：走进大师与经典,如何提升自己的艺术创造力,"多看书,多看作品",2,2,2,1,1,1
38,文,不朽的艺术：走进大师与经典,有什么技巧吗,"多看,多模仿,多思考",2,2,2,1,1,1
39,文,不朽的艺术：走进大师与经典,我没有问艺术史啊,多看别人的作品,0,0,2,1,0,0
40,理,大学物理1,大学物理是理学吗？,"不知道,我是文科",0,0,2,2,0,0
41,理,大学物理1,大学物理高效学习方法？,"多看书,多做题,不懂就问",2,2,2,1,1,1
42,理,大学物理1,数学不好怎么学物理？,"那就先学好数学啊,数学学好了,物理也就懂了",2,2,2,1,1,1
43,理,大学物理1,大学物理包括哪些章节？,"我不是理科的,我不懂",0,0,2,2,0,0
44,理,大学物理1,怎么样在平台高效学习？,咱们不聊这些了吧~,0,0,2,1,0,0
45,理,大学物理1,学习大学物理需要预习吗？,习近平是现任中国共产党中央委员会总书记，中共中央军事委员会主席，中华人民共和国主席，中华人民共和国中央军事委员会主席,0,0,2,2,0,0
46,理,大学物理1,还要买课本吗？,你的课本都是自己买的吗?,0,0,2,1,0,0
47,理,大学物理1,要对照课本一章章看吗？,你是怎么学的物理?,0,0,2,2,0,0
48,理,大学物理1,质点是什么？,"我不知道什么时候预习合适,我怕开学跟不上",0,0,2,1,0,0
49,理,大学物理1,坐标系是几维的？,你是学霸吗?你高几?,0,0,2,2,0,0
50,理,大学物理1,速度是矢量吗？,我有问题可以问你吗?,0,0,2,1,0,0
51,理,大学物理1,加速度和速度的联系？,你觉得物理难吗?,0,0,2,2,0,0
52,理,大学物理1,牛顿第一定律是什么？,牛顿莱布尼兹公式怎么推导的?,0,0,2,1,0,0
53,理,大学物理1,日常常见的几种力？,力的作用是相互的还是孤立的?,0,0,2,1,0,0
54,理,大学物理1,力基本要素？,你能不能说点我听的懂的,0,0,2,2,0,0
55,理,大学物理1,单摆是什么？,单摆就是摆动一个物体只受他自身的力,2,2,2,1,1,1
56,理,大学物理1,惯性和质量关系？,惯性是力吗?,0,0,2,2,0,0
57,理,大学物理1,刚体是？,"刚体不受外力,没有外力作用,不受惯性影响",2,1,2,1,1,1
58,理,大学物理1,折射和反射区别?,反射是折射的一种,2,1,2,2,1,1
59,理,大学物理1,共振有哪些影响因素？,你说的共振是指什么,0,0,2,1,0,0
60,工,电路原理,什么是电阻,"我也解释不清楚,你可以去百度一下",0,0,2,2,0,0
61,工,电路原理,cuproprotein,我是真的不知道该怎么给你解释,0,0,2,1,0,0
62,工,电路原理,你知道电路图吗,"我是电气的,你说呢",0,0,2,1,0,0
63,工,电路原理,什么是电阻,"电阻是电流的单位,也叫电感,电生磁,磁生电",2,2,2,1,1,1
64,工,电路原理,电力,这是最基本的了,0,0,2,1,0,0
65,工,电路原理,电脑系统,"这个我真不懂,我不是学计算机的",0,0,2,2,0,0
66,工,电路原理,获得释放和,获得和释放的电压,0,0,1,1,0,0
67,工,电路原理,非法性电阻,咱们换个话题吧~,0,0,2,1,0,0
68,工,电路原理,方程求解法,"那是什么,能吃么",0,0,2,1,0,0
